2022-05-24:14:26:29,382 DEBUG    [connectionpool.py:1001] Starting new HTTPS connection (1): api.kite.trade:443
2022-05-24:14:32:01,496 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.4 : 461.6 : 460.9 : 461.05
2022-05-24:14:32:01,496 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 707.8 : 707.9 : 707.3 : 707.75
2022-05-24:14:32:01,496 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.95 : 460.0 : 459.7 : 459.8
2022-05-24:14:32:02,468 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2602.9 : 2606.85 : 2602.75 : 2605.6
2022-05-24:14:32:51,189 ERROR    [ticker.py:661] Connection error: 1006 - connection was closed uncleanly (peer dropped the TCP connection without previous WebSocket closing handshake)
2022-05-24:14:32:51,189 ERROR    [ticker.py:654] Connection closed: 1006 - connection was closed uncleanly (peer dropped the TCP connection without previous WebSocket closing handshake)
2022-05-24:14:33:00,873 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3281.0 : 3281.85 : 3280.0 : 3281.2
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3620.8 : 3622.0 : 3618.0 : 3621.1
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2605.6 : 2605.65 : 2603.15 : 2603.8
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 707.7 : 707.95 : 707.25 : 707.35
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.05 : 461.5 : 460.95 : 461.4
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.8 : 459.8 : 459.45 : 459.8
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1317.65 : 1317.65 : 1316.05 : 1317.25
2022-05-24:14:33:01,566 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1441.05 : 1441.1 : 1440.55 : 1441.0
2022-05-24:14:34:00,837 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 707.5 : 707.5 : 706.6 : 706.75
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3281.2 : 3282.2 : 3280.35 : 3281.5
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.2 : 461.45 : 460.9 : 461.0
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.7 : 460.2 : 459.6 : 460.2
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1317.35 : 1317.7 : 1316.0 : 1316.4
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1441.0 : 1441.95 : 1440.6 : 1440.7
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 362.8 : 362.8 : 362.55 : 362.75
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3621.1 : 3625.5 : 3621.1 : 3622.6
2022-05-24:14:34:01,478 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2603.95 : 2606.0 : 2603.4 : 2603.4
2022-05-24:14:35:00,724 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: RELIANCE  : 2602.0 : 2606.85 : 2599.15 : 2602.9
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2603.65 : 2604.75 : 2601.95 : 2602.9
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: TCS  : 3281.0 : 3282.3 : 3278.35 : 3280.55
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3281.5 : 3281.75 : 3278.35 : 3280.55
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: ICICIBANK  : 707.3 : 708.0 : 706.3 : 706.8
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:00,740 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 706.8 : 706.9 : 706.3 : 706.8
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: WIPRO  : 459.85 : 460.25 : 459.45 : 460.05
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 460.2 : 460.2 : 460.0 : 460.05
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: HDFCBANK  : 1314.85 : 1318.0 : 1314.3 : 1316.05
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1316.15 : 1317.0 : 1315.95 : 1316.05
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: INFY  : 1441.0 : 1442.5 : 1436.35 : 1436.6
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:01,402 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1440.7 : 1440.7 : 1436.35 : 1436.6
2022-05-24:14:35:02,27 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: SBIN  : 460.9 : 461.6 : 460.5 : 460.9
2022-05-24:14:35:02,27 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:02,27 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 461.0 : 461.05 : 460.6 : 460.9
2022-05-24:14:35:02,27 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: AMBUJACEM  : 362.45 : 362.85 : 362.4 : 362.85
2022-05-24:14:35:02,31 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:35:03,782 DEBUG    [AbhaysApp.py:230] 5 mins  Candle data :: APOLLOHOSP  : 3620.0 : 3625.5 : 3617.05 : 3621.2
2022-05-24:14:35:03,782 DEBUG    [AbhaysApp.py:233] company_data['instrument_token']][4] - False
2022-05-24:14:36:01,389 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 460.05 : 460.25 : 459.75 : 460.2
2022-05-24:14:36:01,389 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1316.0 : 1316.25 : 1315.1 : 1315.1
2022-05-24:14:36:01,404 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1436.7 : 1437.7 : 1436.45 : 1437.15
2022-05-24:14:36:01,404 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3622.6 : 3624.85 : 3621.1 : 3624.85
2022-05-24:14:36:01,404 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 706.65 : 707.4 : 706.6 : 706.85
2022-05-24:14:36:01,999 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3280.55 : 3280.8 : 3278.25 : 3279.9
2022-05-24:14:36:02,0 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 460.85 : 461.0 : 460.55 : 460.9
2022-05-24:14:36:02,0 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2603.0 : 2604.45 : 2601.0 : 2601.8
2022-05-24:14:37:00,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 460.85 : 460.9 : 460.3 : 460.7
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: AMBUJACEM  : 362.85 : 362.9 : 362.7 : 362.7
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3625.0 : 3627.6 : 3623.05 : 3627.1
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2601.5 : 2602.0 : 2600.0 : 2600.9
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3278.8 : 3279.9 : 3277.05 : 3279.4
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 706.95 : 707.0 : 706.05 : 706.8
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1315.15 : 1316.05 : 1314.55 : 1315.0
2022-05-24:14:37:01,724 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1437.2 : 1437.75 : 1437.1 : 1437.75
2022-05-24:14:37:02,18 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 460.2 : 460.2 : 459.7 : 459.9
2022-05-24:14:38:00,765 DEBUG    [AbhaysApp.py:71] One min Candle data :: TCS  : 3279.4 : 3280.9 : 3279.05 : 3280.9
2022-05-24:14:38:01,304 DEBUG    [AbhaysApp.py:71] One min Candle data :: WIPRO  : 459.9 : 460.0 : 459.7 : 459.8
2022-05-24:14:38:01,304 DEBUG    [AbhaysApp.py:71] One min Candle data :: HDFCBANK  : 1315.0 : 1315.5 : 1314.7 : 1315.45
2022-05-24:14:38:01,304 DEBUG    [AbhaysApp.py:71] One min Candle data :: INFY  : 1438.0 : 1439.4 : 1437.9 : 1439.4
2022-05-24:14:38:01,304 DEBUG    [AbhaysApp.py:71] One min Candle data :: APOLLOHOSP  : 3627.1 : 3629.4 : 3624.7 : 3628.55
2022-05-24:14:38:01,304 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2600.1 : 2603.05 : 2600.1 : 2603.0
2022-05-24:14:38:01,319 DEBUG    [AbhaysApp.py:71] One min Candle data :: ICICIBANK  : 706.6 : 707.25 : 706.2 : 707.2
2022-05-24:14:38:01,319 DEBUG    [AbhaysApp.py:71] One min Candle data :: SBIN  : 460.7 : 461.5 : 460.5 : 461.5
2022-05-24:14:39:01,328 DEBUG    [AbhaysApp.py:71] One min Candle data :: RELIANCE  : 2603.45 : 2604.35 : 2602.4 : 2603.45
